Date,Vehicle Class,Fuel Type,Classified,Date
2021-02-01,Private Light Bus,Diesel,91,2021-02-01
2021-02-01,Private Light Bus,Electric,1,2021-02-01
2021-02-01,Private Light Bus,LPG,93,2021-02-01
2021-02-01,Public Bus,Diesel,730,2021-02-01
2021-02-01,Public Light Bus,Diesel,19,2021-02-01
2021-02-01,Public Light Bus,LPG,223,2021-02-01
2021-02-01,Taxi,LPG,1051,2021-02-01
2021-03-01,HGV,Diesel,381,2021-03-01
2021-03-01,LGV,Diesel,6046,2021-03-01
2021-03-01,LGV,Electric,50,2021-03-01
2021-03-01,LGV,Petrol,2,2021-03-01
2021-03-01,MGV,Diesel,1633,2021-03-01
2021-03-01,MGV,Electric,1,2021-03-01
2021-03-01,Motorcycle,Electric,52,2021-03-01
2021-03-01,Motorcycle,Petrol,12597,2021-03-01
2021-03-01,Private Bus,Diesel,80,2021-03-01
2021-03-01,Private Car,Electric,6653,2021-03-01
2021-03-01,Private Car,Petrol,45432,2021-03-01
2021-03-01,Private Light Bus,Diesel,92,2021-03-01
2021-03-01,Private Light Bus,Electric,1,2021-03-01
2021-03-01,Private Light Bus,LPG,99,2021-03-01
2021-03-01,Public Bus,Diesel,746,2021-03-01
2021-03-01,Public Light Bus,Diesel,20,2021-03-01
2021-03-01,Public Light Bus,LPG,231,2021-03-01
2021-03-01,Taxi,LPG,1174,2021-03-01
2021-04-01,HGV,Diesel,410,2021-04-01
2021-04-01,LGV,Diesel,6480,2021-04-01
2021-04-01,LGV,Electric,52,2021-04-01
2021-04-01,LGV,Petrol,2,2021-04-01
2021-04-01,MGV,Diesel,1743,2021-04-01
2021-04-01,MGV,Electric,2,2021-04-01
2021-04-01,Motorcycle,Electric,56,2021-04-01
2021-04-01,Motorcycle,Petrol,13428,2021-04-01
2021-04-01,Private Bus,Diesel,81,2021-04-01
2021-04-01,Private Car,Electric,7275,2021-04-01
2021-04-01,Private Car,Petrol,47901,2021-04-01
2021-04-01,Private Light Bus,Diesel,94,2021-04-01
