資料年月,縣市,燃料別,車種類別,數量
201212,臺北市,電能/汽油,機車重型,0
201212,臺北市,電能/汽油,機車輕型,0
201212,臺北市,電能/柴油,大客車,0
201212,臺北市,電能/柴油,大貨車,0
201212,臺北市,電能/柴油,小客車,0
201212,臺北市,電能/柴油,小貨車,0
201212,臺北市,電能/柴油,特種車,0
201212,臺北市,電能/柴油,機車重型,0
201212,臺北市,電能/柴油,機車輕型,0
201212,臺北市,總計,大客車,7187
201212,臺北市,總計,大貨車,6072
201212,臺北市,總計,小客車,675228
201212,臺北市,總計,小貨車,59877
201212,臺北市,總計,特種車,8238
201212,臺北市,總計,機車重型,859852
201212,臺北市,總計,機車輕型,240082
201301,臺北市,汽油,大客車,36
201301,臺北市,汽油,大貨車,25
201301,臺北市,汽油,小客車,637538
201301,臺北市,汽油,小貨車,36185
201301,臺北市,汽油,特種車,4759
201301,臺北市,汽油,機車重型,861358
201301,臺北市,汽油,機車輕型,235905
201301,臺北市,汽油(油電),大客車,0
201301,臺北市,汽油(油電),大貨車,0
201301,臺北市,汽油(油電),小客車,0
201301,臺北市,汽油(油電),小貨車,0
201301,臺北市,汽油(油電),特種車,0
201301,臺北市,汽油(油電),機車重型,0
201301,臺北市,汽油(油電),機車輕型,0
201301,臺北市,汽油/LPG,大客車,0
201301,臺北市,汽油/LPG,大貨車,0
201301,臺北市,汽油/LPG,小客車,7476
201301,臺北市,汽油/LPG,小貨車,2
201301,臺北市,汽油/LPG,特種車,16
201301,臺北市,汽油/LPG,機車重型,0
201301,臺北市,汽油/LPG,機車輕型,0
201301,臺北市,汽油/電能,大客車,0
201301,臺北市,汽油/電能,大貨車,0
201301,臺北市,汽油/電能,小客車,9527
201301,臺北市,汽油/電能,小貨車,2
201301,臺北市,汽油/電能,特種車,8
201301,臺北市,汽油/電能,機車重型,0
201301,臺北市,汽油/電能,機車輕型,0
201301,臺北市,柴油,大客車,7120
201301,臺北市,柴油,大貨車,6064
201301,臺北市,柴油,小客車,22978
201301,臺北市,柴油,小貨車,23898
201301,臺北市,柴油,特種車,3437
201301,臺北市,柴油,機車重型,1
201301,臺北市,柴油,機車輕型,0
201301,臺北市,柴油(油電),大客車,0
201301,臺北市,柴油(油電),大貨車,0
201301,臺北市,柴油(油電),小客車,0
201301,臺北市,柴油(油電),小貨車,0
201301,臺北市,柴油(油電),特種車,0
201301,臺北市,柴油(油電),機車重型,0
201301,臺北市,柴油(油電),機車輕型,0
201301,臺北市,柴油/電能,大客車,20
201301,臺北市,柴油/電能,大貨車,0
201301,臺北市,柴油/電能,小客車,0
201301,臺北市,柴油/電能,小貨車,0
201301,臺北市,柴油/電能,特種車,0
201301,臺北市,柴油/電能,機車重型,0
201301,臺北市,柴油/電能,機車輕型,0
201301,臺北市,液化石油氣,大客車,0
201301,臺北市,液化石油氣,大貨車,0
201301,臺北市,液化石油氣,小客車,0
201301,臺北市,液化石油氣,小貨車,1
201301,臺北市,液化石油氣,特種車,0
201301,臺北市,液化石油氣,機車重型,0
201301,臺北市,液化石油氣,機車輕型,0
201301,臺北市,電能,大客車,2
201301,臺北市,電能,大貨車,0
201301,臺北市,電能,小客車,90
201301,臺北市,電能,小貨車,3
201301,臺北市,電能,特種車,3
201301,臺北市,電能,機車重型,14
201301,臺北市,電能,機車輕型,3410
201301,臺北市,電能(增程),大客車,0
201301,臺北市,電能(增程),大貨車,0
201301,臺北市,電能(增程),小客車,0
201301,臺北市,電能(增程),小貨車,0
201301,臺北市,電能(增程),特種車,0
201301,臺北市,電能(增程),機車重型,0
201301,臺北市,電能(增程),機車輕型,0
201301,臺北市,電能/汽油,大客車,0
201301,臺北市,電能/汽油,大貨車,0
201301,臺北市,電能/汽油,小客車,0
201301,臺北市,電能/汽油,小貨車,0
201301,臺北市,電能/汽油,特種車,0
201301,臺北市,電能/汽油,機車重型,0
201301,臺北市,電能/汽油,機車輕型,0
201301,臺北市,電能/柴油,大客車,0
201301,臺北市,電能/柴油,大貨車,0
201301,臺北市,電能/柴油,小客車,0
201301,臺北市,電能/柴油,小貨車,0
201301,臺北市,電能/柴油,特種車,0
201301,臺北市,電能/柴油,機車重型,0
201301,臺北市,電能/柴油,機車輕型,0
201301,臺北市,總計,大客車,7178
201301,臺北市,總計,大貨車,6089
201301,臺北市,總計,小客車,677609
201301,臺北市,總計,小貨車,60091
201301,臺北市,總計,特種車,8223
